LOCATION,FORMAL_NAME,LOC_CODE,PARK_TYPE,PARK_CLASS,GIS_ACRES,DESIGNATED,FIRST_AQ_DATE,MASTER_PLAN,MAINT_DIST,COUNCIL_DIST,POLICE_DIST,CROSS_STREETS,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,LATITUDE,LONGITUDE,MARKETING_CODE,FACILITIES,DIAGRAM,PHOTO,PARCEL_MATCH,BND_QC,GLOBALID
Bates & Hobart,Unnamed Bates & Hobart Park,142,Park,Neighborhood,6.36715637,Yes,1963,None,SW,2,4,Bates Av & Hobart Way,"366,281",6000 W Bates Ave,,Denver,CO,,39.66160916,-105.06064009,PK,"Benches, Picnic Tables, Playground, Soccer Field, Bike/Pedestrian Path, Horseshoe Pits",documents/parkart/ParkArt_Unnamed Bates & Hobart Park.pdf,images/Parks/bateshobartpark.jpg,Yes,2008-11-07 00:00:00,{00000000-0000-0000-0000-000000000000}
St Patrick's,St. Patrick's Neighborhood Park,43,Park,Pocket,0.28383866,Partial,1981,None,NW,9,1,33rd Av & Pecos St,"44,073",3312 N Pecos St,,Denver,CO,,39.7634593,-105.00612202,PK,"Drinking Fountain, Picnic Tables, Benches, Playground, Plaza",documents/parkart/ParkArt_St. Patrick's Neighborhood Park.pdf,images/Parks/stpatrickspark.jpg,Yes,2009-03-11 00:00:00,{00000000-0000-0000-0000-000000000000}
Dartmouth Gulch,Dartmouth Gulch Park,178,Open Space,Open Space,3.3473462,Yes - 2013 January,0,None,SW,7,4,Bryant St & Dartmouth Av,"356,904",2601 W Dartmouth Ave,,Denver,CO,,39.6612,-105.01965553,,"Open Space, Natural Areas",documents/parkart/ParkArt_Dartmouth Gulch Park.pdf,images/Parks/no_imagerec.gif,Yes,2009-06-25 00:00:00,{00000000-0000-0000-0000-000000000000}
Hampden Heights West,Hampden Heights West Park,615,Open Space,Open Space,4.28975974,No,1973,None,E,4,3,Eastman Av & Xanthia Ct,"356,983",8674 E Eastman Ave,,Denver,CO,,39.65722808,-104.88701864,,"Bike/Pedestrian Path, Open Space, Natural Areas",documents/parkart/ParkArt_Hampden Heights West Park.pdf,images/Parks/hampdenheightspark.jpg,Yes,2009-06-12 00:00:00,{00000000-0000-0000-0000-000000000000}
Bear Creek,Bear Creek Park,139,Park,Regional,86.40724166,Partial - 2014 January,1956,None,SW,2,4,Hampden Av & Sheridan Blvd,,3550 S Raleigh St,,Denver,CO,,39.65156416,-105.04617815,PK,"Benches, Drinking Fountain, Picnic Shelter, Picnic Tables, Playground, Restroom, Bike/Pedestrian Path, Bear Creek Trail, Horseshoe Pits, Soccer Field, Baseball / Softball Field, Natural Areas, Picnic Area",documents/parkart/ParkArt_Bear Creek Park.pdf,images/Parks/bearcreekpark.jpg,No,2009-12-01 00:00:00,{00000000-0000-0000-0000-000000000000}
Southmoor,Southmoor Park,622,Park,Community,17.32484594,Yes,1966,None,E,4,3,Oneida Way & Peach Way,"357,868",3551 S Poplar St,,Denver,CO,,39.65146329,-104.90694239,PK,"Benches, Drinking Fountain, Picnic Shelter, Picnic Tables, Playground, Basketball Court, Bike/Pedestrian Path, Soccer Field, Baseball / Softball Field",documents/parkart/ParkArt_Southmoor Park.pdf,images/Parks/southmoorpark.jpg,Yes,2009-01-09 00:00:00,{00000000-0000-0000-0000-000000000000}
Jefferson & Kendall,Unnamed Jefferson & Kendall Park,156,Park,Neighborhood,2.42291677,Yes,1976,None,SW,2,4,Jefferson Av & Kendall Blvd,"176,719",3599 S Kendall St,,Denver,CO,,39.65047935,-105.06710545,PK,"Picnic Tables, Playground, Baseball / Softball Field, Bike/Pedestrian Path",documents/parkart/ParkArt_Unnamed Jefferson & Kendall Park.pdf,images/Parks/jeffersonkendallpark.jpg,Yes,2008-11-20 00:00:00,{00000000-0000-0000-0000-000000000000}
Goldsmith Gulch (North),Goldsmith Gulch North,609,Open Space,Open Space,5.40496952,Not Eligible,1965,None,E,4,3,Goldsmith Gulch - Hampden Av to Mansfield Av,,3801 S Tamarac Dr,,Denver,CO,,39.64618971,-104.89614007,,"Bike/Pedestrian Path, Open Space, Natural Areas",documents/parkart/ParkArt_Goldsmith Gulch North.pdf,images/Parks/no_imagerec.gif,Yes,2009-07-17 00:00:00,{00000000-0000-0000-0000-000000000000}
Rosamond,Rosamond Park,621,Park,Community,35.64359505,Yes,1963,None,E,4,3,Tamarac Dr & Quincy St,"173,139",8051 E Quincy Ave,,Denver,CO,,39.64062662,-104.89512424,PK,"Benches, Drinking Fountain, Playground, Basketball Court, Bike/Pedestrian Path, Football Field, Soccer Field, Baseball / Softball Field, Tennis Court, Flower Beds, Picnic Tables, Picnic Shelter, Parking Lot, Picnic Area",documents/parkart/ParkArt_Rosamond Park.pdf,images/Parks/rosamondpark.jpg,Yes,2009-01-09 00:00:00,{00000000-0000-0000-0000-000000000000}
Martin Luther King,Martin Luther King Park,415,Park,Neighborhood,11.31447283,Yes,1968,None,NE,11,2,39th Av & Newport St,"11,257",3880 N Newport St,,Denver,CO,,39.7701928,-104.90820402,PK,"Recreation Center, Playground, Basketball Court, Bike/Pedestrian Path, Football Field, Soccer Field, Baseball / Softball Field, Tennis Court, Picnic Tables, Benches, Picnic Area",documents/parkart/ParkArt_Martin Luther King Jr Park.pdf,images/Parks/mlkpark.jpg,Yes,2008-11-25 00:00:00,{00000000-0000-0000-0000-000000000000}
Four Mile,Four Mile Historic Park,756,Park,Special Use,10.88573892,Yes,1975,None,E,6,3,Exposition Av & Forest St,,715 S Forest St,,Denver,CO,,39.70310512,-104.92731008,PK,"Historic Site, Museum, Special Events, Educational Activities, Paid Admission Required",documents/parkart/ParkArt_Four Mile Historic Park.pdf,images/Parks/fourmilepark.jpg,Yes,2008-12-12 00:00:00,{00000000-0000-0000-0000-000000000000}
Boyd,Boyd (J. Langston) Park,255,Park,Neighborhood,4.88831733,Yes,0,None,NW,8,2,MLK Jr Blvd & Colorado Blvd,"356,681",3101 N Colorado Blvd,,Denver,CO,,39.76034145,-104.9412165,PK,"Benches, Bike/Pedestrian Path, Flower Bed",documents/parkart/ParkArt_Boyd (J. Langston) Park.pdf,images/Parks/northeastcommunitypark.jpg,No,2009-02-04 00:00:00,{00000000-0000-0000-0000-000000000000}
Bryant & Ellsworth,Unnamed Bryant & Ellsworth Park,815,Park,Pocket,0.52562428,Yes,1946,None,SW,9,4,Bryant St & Ellsworth Av,"366,340",25 S Bryant St,,Denver,CO,,39.71616942,-105.01871851,PK,Basketball Court,documents/parkart/ParkArt_Unnamed Bryant & Ellsworth Park.pdf,images/Parks/bryantellsworthpark.jpg,Yes,2009-07-17 00:00:00,{00000000-0000-0000-0000-000000000000}
Valverde,Valverde Park,834,Park,Neighborhood,5.79793115,Yes,1938,None,SW,7,4,Cedar Av & Navajo St,,150 S Navajo St,,Denver,CO,,39.71376721,-105.00282014,PK,"Baseball / Softball Field Complex, Basketball Court, Football Field,  Bike/Pedestrian Path, Picnic Shelter",documents/parkart/ParkArt_Valverde Park.pdf,images/Parks/valverdepark.jpg,No,2009-07-17 00:00:00,{00000000-0000-0000-0000-000000000000}
Thomas,Thomas (Fred N) Park,L16,Park,Community,29.43045419,Yes,1969,None,NE,11,2,26th Av & Quebec St,"173,644",2400 N Quebec St,,Denver,CO,,39.75265535,-104.90146324,PK,"Pavilion, Benches, Picnic Tables, Picnic Shelter, Playground, Restroom, Drinking Fountain, Basketball Court, Football Field, Soccer Field, Baseball / Softball Field, Tennis Court, Sand Volleyball Court, Bike/Pedestrian Path, Picnic Area",documents/parkart/ParkArt_Thomas (Fred N) Park.pdf,images/Parks/fredthomaspark.jpg,No,2009-02-26 00:00:00,{00000000-0000-0000-0000-000000000000}
Red Rocks,Red Rocks Park,M44,Park,Mountain,637.38976558,Yes,,2008,MP,None,None,,,16351 County Road 93,,Morrison,CO,80465,39.66586554,-105.20555856,MP,"Historic Amphitheatre, Trading Post (Welcome Center), Visitor Center, Exhibits, Restaurant, Geologic Overlook, Picnic Area, Picnic Shelter, Restroom, Trading Post Trail, Trail connections to adjacent Open Space Parks",documents/parkart/RedRocks_ParkMap.pdf,images/Parks/redrockspark.jpg,,2010-06-25 00:00:00,{00000000-0000-0000-0000-000000000000}
Kentucky & Knox,Unnamed Kentucky & Knox Park,817,Park,Pocket,0.38331134,Yes,1976,None,SW,3,4,Kentucky Av & Knox Ct,,3451 W Kentucky Ave,,Denver,CO,,39.70065224,-105.03269389,PK,"Playground, Picnic Shelter, Picnic Tables",documents/parkart/ParkArt_Unnamed Kentucky & Knox Park.pdf,images/Parks/kentuckyandknoxpark.jpg,No,2008-11-25 00:00:00,{00000000-0000-0000-0000-000000000000}
Berkeley Lake,Berkeley Lake Park,2,Park,Regional,81.22042774,Yes,1906,2004,NW,1,1,46th Av & Sheridan Blvd,"162,166",4601 W 46th Ave,,Denver,CO,,39.78227342,-105.04860942,PK,"Dog Park, Lake, Flower Beds, Drinking Fountain, Picnic Shelter, Picnic Tables, Playground, Recreation Center, Outdoor Pool, Basketball Court, Tennis Court, Bike/Pedestrian Path, Soccer Field, Baseball / Softball Field, Restroom, Benches, Picnic Area",documents/parkart/ParkArt_Berkeley Lake Park.pdf,images/Parks/berkeleypark.jpg,No,2009-08-11 00:00:00,{00000000-0000-0000-0000-000000000000}
Camp Rollendet,Camp Rollendet,49,Open Space,Special Use,7.03227875,Yes - 2013 January,2005,None,NW,1,1,52nd Av & Sheidan Blvd,"58,923",5161 N Sheridan Blvd,,Denver,CO,,39.7899896,-105.05427416,,"Open Space, Natural Areas, Special Use Activities",documents/parkart/ParkArt_Camp Rollendet.pdf,images/Parks/no_imagerec.gif,No,2008-11-07 00:00:00,{00000000-0000-0000-0000-000000000000}
42nd & Lisbon,Unnamed 42nd & Lisbon Park,522,Park,Neighborhood,18.00337525,Yes - 2013 April,0,None,NE,11,5,42nd Av & Lisbon St,"177,070",4000 N Kirk St,,Denver,CO,,39.77286902,-104.74613507,PK,"Benches, Picnic Tables, Picnic Shelter, Playground, Restroom, Drinking Fountain, Basketball Court, Tennis Court, Bike/Pedestrian Path, Baseball / Softball Field, Disc Golf Course, Picnic Area",documents/parkart/ParkArt_Unnamed 42nd & Lisbon Park.pdf,images/Parks/42ndlisbonpark.jpg,Yes,2009-05-06 00:00:00,{00000000-0000-0000-0000-000000000000}
Milstein,Milstein (Phil) Park,911,Park,Neighborhood,5.48319398,Not Eligible,Not Applicable,None,NW,9,4,6th Av & Platte River,,,,Denver,CO,,39.72296856,-105.01292111,PK,"Picnic Tables, Bike/Pedestrian Path, South Platte River Trail",documents/parkart/ParkArt_Milstein (Phil) Park.pdf,images/Parks/milsteinpark.jpg,No,2009-10-07 00:00:00,{00000000-0000-0000-0000-000000000000}
Speer Blvd Park,Speer Blvd Park,354,Park,Neighborhood,3.53214994,No,1996,None,NW,9,6,Speer Blvd & Wewatta St,,1900 N Speer Blvd,,Denver,CO,,39.75105578,-105.00537637,,Passive Open Space,documents/parkart/ParkArt_Speer Blvd Park.pdf,images/Parks/no_imagerec.gif,No,2009-10-07 00:00:00,{00000000-0000-0000-0000-000000000000}
Broadway Triangles,Broadway Triangles,385,Park,Pocket,0.3726079,Yes,,None,NW,9,6,Broadway - Stout to Larimer,,,,Denver,CO,,39.75601266,-104.98717752,,"Benches, Public Art",0,images/Parks/no_imagerec.gif,No,,{00000000-0000-0000-0000-000000000000}
Highline Canal (Colorado to Parker),Highline Canal (Colorado to Parker),626,Trail,Trail,61.82831315,Not Eligible,Not Applicable,None,E,4,3,Highline Canal South Denver Section,,,,Denver,CO,,39.66375223,-104.90568487,,"Bike/Pedestrian Path, High Line Canal Trail, Open Space, Natural Areas",documents/parkart/ParkArt_Highline Canal.pdf,images/Parks/no_imagerec.gif,Yes,2009-06-08 00:00:00,{00000000-0000-0000-0000-000000000000}
Highline Canal (Parker to Havana),Highline Canal (Parker to Havana),661,Trail,Trail,28.79225445,Not Eligible,Not Applicable,None,NE,5,3,,,,,Denver,CO,,39.70355566,-104.89714612,,"Bike/Pedestrian Path, High Line Canal Trail, Open Space, Natural Areas",documents/parkart/ParkArt_Highline Canal.pdf,images/Parks/no_imagerec.gif,Yes,2009-06-08 00:00:00,{00000000-0000-0000-0000-000000000000}
Great Lawn Park,Great Lawn Park,L07,Park,Community,43.45280037,No,2010,None,NE,5,3,Lowry Blvd & Yosemite St,"270,832",101 N Yosemite St,,Denver,CO,,39.72399595,-104.88785016,PK,"Benches, Picnic Tables, Picnic Shelter, Restroom, Drinking Fountain, Playground, Lake, Bike/Pedestrian Path, Overlook Plaza, Natural Areas, Picnic Area",documents/parkart/ParkArt_Great Lawn Park.pdf,images/Parks/no_imagerec.gif,No,2010-10-06 00:00:00,{00000000-0000-0000-0000-000000000000}
Gates Crescent,Gates Crescent Park,907,Park,Neighborhood,10.82408343,Yes - 2013 January,1976,1997,NW,1,1,Children's Museum Dr & 7th St,,2100 Childrens Museum Dr,,Denver,CO,,39.74732334,-105.01669094,PK,"Picnic Tables, Bike/Pedestrian Path, South Platte River Trail, Sand Volleyball Court, Natural Areas, Playground, Drinking Fountain",documents/parkart/ParkArt_Gates Crescent Park.pdf,images/Parks/gatescrescentpark.jpg,Yes,2009-03-11 00:00:00,{00000000-0000-0000-0000-000000000000}
City of Cuernavaca,City of Cuernavaca Park,904,Park,Community,24.77051543,Partial,1993,1998,NW,9,1/6,Rockmont Dr & 19th Av,"43,551",3500 Rockmont Dr,,Denver,CO,,39.76220667,-105.00058605,PK,"Drinking Fountain, Picnic Tables, Picnic Shelter, Public Art, Baseball / Softball Field, Natural Areas, Bike/Pedestrian Path, South Platte River Trail, Picnic Area",documents/parkart/ParkArt_City of Cuernavaca Park.pdf,images/Parks/cuernavacapark.jpg,No,2009-05-06 00:00:00,{00000000-0000-0000-0000-000000000000}
Marrama,Marrama Park,519,Park,Pocket,1.47635754,Yes - 2013 April,,None,NE,11,5,43rd Av & Ceylon Ct,"5,775",19300 E 43rd Ave,,Denver,CO,,39.77303343,-104.76321646,PK,"Picnic Tables, Adjacent to the Highline Canal Trail",documents/parkart/ParkArt_Marrama Park.pdf,images/Parks/marramapark.jpg,Yes,2009-05-06 00:00:00,{00000000-0000-0000-0000-000000000000}
Green Valley Ranch West,Green Valley Ranch West Park,549,Park,Neighborhood,3.50304335,Yes - 2013 April,1984,None,NE,11,5,45th Av & Argonne St,"356,999",4500 N Argonne St,,Denver,CO,,39.77859946,-104.76815762,PK,"Picnic Tables, Grills, Playground, Basketball Court, Football Field, Baseball / Softball Field, Picnic Area",documents/parkart/ParkArt_Green Valley Ranch West Park.pdf,images/Parks/greenvalleyranchwestpark.jpg,Yes,2009-05-06 00:00:00,{00000000-0000-0000-0000-000000000000}
Downtown Playground,Downtown Playground,942,Park,Pocket,0.81564863,No,1996,None,NW,9,6,Speer Blvd & Wewatta St,"356,942",1800 N Speer Blvd,,Denver,CO,,39.75008749,-105.00410282,PK,"Playground, Benches, Picnic Shelter, Picnic Tables, Located just off of the Cherry Creek Trail",documents/parkart/ParkArt_Downtown Playground.pdf,images/Parks/downtownplaygroundpark.jpg,No,2009-10-07 00:00:00,{00000000-0000-0000-0000-000000000000}
First Creek,First Creek Open Space,521,Open Space,Open Space,37.09199648,Yes - 2013 April,0,None,NE,11,5,42nd Av & Piccadilly Rd,"7,456",4055 N Picadilly Rd,,Denver,CO,,39.7715202,-104.73544225,,"Bike/Pedestrian Path, First Creek Trail, Open Space, Natural Areas",documents/parkart/ParkArt_First Creek Open Space.pdf,images/Parks/no_imagerec.gif,Yes,2009-05-19 00:00:00,{00000000-0000-0000-0000-000000000000}
Park Ave Parks,Park Ave Parks,317,Park,Neighborhood,2.72472262,Yes,1894,None,E,8,6,Park Av - Colfax Av To 20th Av,"57,572",1695 N Marion St,,Denver,CO,,39.74270495,-104.97251499,,"Passive Open Space, Benches, Picnic Tables",documents/parkart/ParkArt_Park Ave Parks.pdf,images/Parks/no_imagerec.gif,Yes,2009-08-19 00:00:00,{00000000-0000-0000-0000-000000000000}
Tennessee,Tennessee Utility Easement,853,Open Space,Open Space,4.23007568,Not Eligible,Not Applicable,None,SW,3,4,Tennessee Av - Hazel To Zuni,,2601 W Tennessee Ave,,Denver,CO,,39.69872493,-105.02627601,,Open Space,documents/parkart/ParkArt_Tennessee Utility Easement.pdf,images/Parks/no_imagerec.gif,Yes,2009-12-11 00:00:00,{00000000-0000-0000-0000-000000000000}
Wellshire Golf Course,Wellshire Municipal Golf Course,GW1,Golf,Golf,133.91137871,Yes,,None,SW,4,3,Hampden Av & Colorado Blvd,"124,738",3333 S Colorado Blvd,,Denver,CO,,39.65663942,-104.94429486,,Unlisted,documents/parkart/WellshireGolfCourse.pdf,,Yes,2014-01-01 00:00:00,{00000000-0000-0000-0000-000000000000}
Highland,Highland Park,13,Park,Neighborhood,7.01124644,Yes,1899,2006,NW,1,1,32nd Av & Federal Blvd,"46,116",3265 N Federal Blvd,,Denver,CO,,39.76292368,-105.02653911,PK,"Picnic Tables, Playground, Basketball Court, Benches, Library, Bike/Pedestrian Path",documents/parkart/ParkArt_Highland Park.pdf,images/Parks/highlandpark.jpg,Yes,2008-11-20 00:00:00,{00000000-0000-0000-0000-000000000000}
Garland North Greenbelt,Garland North Greenbelt,648,Open Space,Open Space,5.41422697,Not Eligible,1972,None,E,6,3,Kearny St & Kentucky Av,"135,960",701 S Kearney St,,Denver,CO,,39.70223948,-104.91789049,,"Bike/Pedestrian Path, Open Space, Natural Areas",documents/parkart/ParkArt_Garland North Greenbelt.pdf,images/Parks/no_imagerec.gif,Yes,2009-08-14 00:00:00,{00000000-0000-0000-0000-000000000000}
Westwood,Westwood Park,839,Park,Neighborhood,5.00597737,Yes,1961,None,SW,3,4,Kentucky Av & Wolff St,,4951 W Kentucky Ave,,Denver,CO,,39.7014293,-105.04996907,PK,"Picnic Tables, Benches, Playground, Basketball Court, Baseball / Softball Field, Bike/Pedestrian Path, Picnic Area",documents/parkart/ParkArt_Westwood Park.pdf,images/Parks/westwoodpark.jpg,Yes,2009-02-09 00:00:00,{00000000-0000-0000-0000-000000000000}
Asbury & Tejon,Unnamed Asbury & Tejon Park,830,Park,Neighborhood,5.75772146,Yes,1974,None,SW,7,4,Asbury Av & Tejon St,"116,167",2140 W Asbury Ave,,Denver,CO,,39.67983295,-105.01178812,PK,"Picnic Tables, Playground, Basketball Court, Walking/Jogging Path",documents/parkart/ParkArt_Unnamed Asbury & Tejon Park.pdf,images/Parks/asburyandteton.jpg,Yes,2009-05-28 00:00:00,{00000000-0000-0000-0000-000000000000}
Godsman,Godsman Park,808,Park,Neighborhood,5.05262761,Yes,1944,None,SW,7,4,Florida Av & Zuni St,"102,680",1400 S Zuni St,,Denver,CO,,39.69020377,-105.01469334,PK,"Picnic Tables, Tennis Court",documents/parkart/ParkArt_Godsman Park.pdf,images/Parks/godsmanpark.jpg,No,2009-05-28 00:00:00,{00000000-0000-0000-0000-000000000000}
Frontier West,Frontier West,918,Park,Neighborhood,2.78979878,No,1984,None,SW,7,4,Platte River Dr & Wesley Av,"356,997",2300 S Platte River Dr,,Denver,CO,,39.67376786,-104.99786801,PK,"Picnic Tables, Bike/Pedestrian Path, South Platte River Trail",documents/parkart/ParkArt_Frontier West.pdf,images/Parks/frontierwestpark.jpg,No,2009-05-28 00:00:00,{00000000-0000-0000-0000-000000000000}
Bonnie Brae,Bonnie Brae Park,702,Park,Pocket,1.47500559,Yes,1925,None,SW,6,3,Bonnie Brae Blvd & Kentucky Av,"356,727",901 S Bonnie Brae Blvd,,Denver,CO,,39.7002049,-104.95467283,PK,"Benches, Flower Beds, Drinking Fountain, Bike/Pedestrian Path",documents/parkart/ParkArt_Bonnie Brae Park.pdf,images/Parks/bonniebraepark.jpg,Yes,2008-12-23 00:00:00,{00000000-0000-0000-0000-000000000000}
Jefferson Square,Jefferson Square Park,629,Park,Neighborhood,4.55739526,Yes,1956,None,E,4,3,Happy Canyon Rd & Ivy Way,,5773 E Happy Canyon Rd,,Denver,CO,,39.64530473,-104.92047744,PK,"Benches, Picnic Tables, Playground, Multi-purpose Field (Lacrosse, Rugby, Soccer), Baseball / Softball Field",documents/parkart/ParkArt_Jefferson Square Park.pdf,images/Parks/jeffersonsquarepark.jpg,Yes,2009-01-09 00:00:00,{00000000-0000-0000-0000-000000000000}
Huston Lake,Huston Lake Park,811,Park,Community,32.70679175,Yes,1946,None,SW,3/7,4,Ohio Av & Zuni St,"95,067",850 S Bryant St,,Denver,CO,,39.70142771,-105.01658984,PK,"Lake, Picnic Tables, Benches, Playground, Football Field, Horseshoe Pits, Basketball Court, Soccer Field, Baseball / Softball Field, Tennis Court, Drinking Fountain, Bike/Pedestrian Path, Flower Beds, Picnic Area",documents/parkart/ParkArt_Huston Lake Park.pdf,images/Parks/hustonpark.jpg,No,2009-02-09 00:00:00,{00000000-0000-0000-0000-000000000000}
Weir Gulch North,Weir Gulch Park - North of Alameda,836,Park,Community,20.58658059,Partial,1937,2010,SW,3,4,Alameda & Xavier to 3rd & Hooker,,4351 W Bayaud Ave,,Denver,CO,,39.71594556,-105.04290821,PK,"Picnic Tables, Benches, Playground, Bike/Pedestrian Path, Weir Gulch Trail, Basketball Court, Natural Areas",documents/parkart/ParkArt_Weir Gulch Park.pdf,images/Parks/weirgulchpark.jpg,No,2009-02-18 00:00:00,{00000000-0000-0000-0000-000000000000}
Globeville Landing,Globeville Landing Park,908,Park,Neighborhood,8.22584649,No,1976,None,NW,9,2,38th St & Arkins Ct,"157,272",3901 Arkins Ct,,Denver,CO,,39.77708318,-104.97684833,PK,"Picnic Tables, Picnic Shelter, Bike/Pedestrian Path, South Platte River Trail, Drinking Fountain, Disc Golf Course",documents/parkart/ParkArt_Globeville Landing Park.pdf,images/Parks/globevillepark.jpg,No,2009-02-26 00:00:00,{00000000-0000-0000-0000-000000000000}
Greenway,Greenway Park,556,Park,Community,40.36850993,Yes - 2013 January,2005,2002,NE,11,2,26th Av & Central Park Blvd,"173,642",8180 E 26th Ave,,Denver,CO,,39.75416905,-104.8928284,PK,"Dog Park, Picnic Tables, Restroom, Drinking Fountain, Playground, Skate Park, Tennis Court, Bike/Pedestrian Path, Stapleton Greenway Trail, Picnic Shelter, Community Garden, Natural Areas, Picnic Area",documents/parkart/ParkArt_Greenway Park.pdf,images/Parks/greenwaypark.jpg,Yes,2009-02-27 00:00:00,{00000000-0000-0000-0000-000000000000}
City of Brest,City of Brest Park,320,Park,Community,16.3537602,Partial,1936,2002,SW,6,3,Cherry Creek Dr S & Colorado Blvd,"356,742",3800 E Cherry Creek South Dr,,Denver,CO,,39.70699994,-104.94411131,PK,"Picnic Tables, Bike/Pedestrian Path",documents/parkart/ParkArt_City of Brest Park.pdf,images/Parks/brestpark.jpg,Yes,2009-07-17 00:00:00,{00000000-0000-0000-0000-000000000000}
DCPA Sculpture Park,DCPA Sculpture Park,340,Park,Special Use,2.53030182,Yes,,None,NW,8,6,Speer Blvd & Champa St,"166,716",1201 Champa St,,Denver,CO,,39.74342506,-104.99932806,,"Public Art, Flower Beds",0,images/Parks/no_imagerec.gif,Yes,2009-08-11 00:00:00,{00000000-0000-0000-0000-000000000000}
Bear Valley,Bear Valley Park,140,Park,Community,72.10689034,Partial,1960,None,SW,2,4,Lamar St & Dartmouth Av,"61,292",6400 W Dartmouth Ave,,Denver,CO,,39.66062186,-105.07496863,PK,"Playground, Picnic Shelter, Benches, Tennis Court, Bike/Pedestrian Path, Bear Creek Trail, Soccer Field, Baseball / Softball Field, Drinking Fountain, Natural Areas, Picnic Tables, Picnic Area",documents/parkart/ParkArt_Bear Valley Park.pdf,images/Parks/bearvalleypark.jpg,No,2014-03-07 00:00:00,{00000000-0000-0000-0000-000000000000}
Harvard Gulch,Harvard Gulch Park,829,Park,Community,38.14233509,Yes,1977,1991,SW,7,4,Harvard Av & Logan St,"165,857",550 E Iliff Ave,,Denver,CO,,39.67309371,-104.9810544,PK,"Recreation Center, Picnic Tables, Playground, Bike/Pedestrian Path, Outdoor Pool, Golf Course, Soccer Field, Baseball / Softball Field, Basketball Court, Benches, Parking Lot",documents/parkart/ParkArt_Harvard Gulch Park.pdf,images/Parks/harvardgulchpark.jpg,Yes,2008-12-23 00:00:00,{00000000-0000-0000-0000-000000000000}
Confluence East,Confluence East Park,940,Park,Community,0.9195539,No,2001,2013,NW,9,6,Cherry Creek & Platte River ,"178,547",2190 15th St,,Denver,CO,,39.75455096,-105.00760312,,"Picnic Tables, Plaza, Bike/Pedestrian Path, South Platte River Trail, Cherry Creek Trail, Benches",documents/parkart/ParkArt_Confluence Park.pdf,images/Parks/no_imagerec.gif,Yes,2009-03-11 00:00:00,{00000000-0000-0000-0000-000000000000}
Kennedy Ballfields,Kennedy Ballfields Complex,617,Park,Athletic Multiuse Complex,56.68844011,Not Eligible,1967,2003,E,4,3,Dartmouth Av & Kenton St,,3398 S Kenton St,,Denver,CO,,39.65659885,-104.85467898,PK,"Baseball / Softball Field Complex, Press Box, Restroom, Drinking Fountain, Parking Lot, Shade Structure, Natural Areas",documents/parkart/ParkArt_Kennedy Ballfield Complex.pdf,images/Parks/kennedypark.jpg,No,2009-06-25 00:00:00,{00000000-0000-0000-0000-000000000000}
Kennedy Soccer,Kennedy Soccer Complex,625,Park,Athletic Multiuse Complex,39.24671609,Not Eligible,1964,2003,E,4,3,Dayton St & Hampden Av,"356,581",9700 E Hampden Ave,,Denver,CO,,39.64775968,-104.87372723,PK,"Dog Park, Soccer Field Complex, Parking Lot, Natural Areas",documents/parkart/ParkArt_Kennedy Soccer Complex.pdf,images/Parks/kennedypark.jpg,Yes,2009-06-25 00:00:00,{00000000-0000-0000-0000-000000000000}
City of Takayama,City of Takayama Park,331,Park,Neighborhood,6.06029558,Yes,1966,None,E,10,3,Cherry Creek Dr N & Colorado Blvd,"356,853",3700 E Cherry Creek North Dr,,Denver,CO,,39.70868281,-104.94404297,PK,"Benches, Bike/Pedestrian Path, Cherry Creek Trail",documents/parkart/ParkArt_City of Takayama Park.pdf,images/Parks/takayamapark.jpg,No,2009-09-30 00:00:00,{00000000-0000-0000-0000-000000000000}
Union & Dudley,Union & Dudley,179,Trail,Trail,0.66785624,Not Eligible,,N/A,SW,2,4,Union Av & Dudley St,,,,Denver,CO,,39.63225768,-105.09468896,,Trail Connection,,,Yes,2012-07-31 00:00:00,{00000000-0000-0000-0000-000000000000}
Kelly Open Space,Kelly Open Space,L08,Open Space,Open Space,59.53113619,Not Eligible,Future,None,NE,5,3,11th Av & Uinta St,,8200 E 11th Ave,,Denver,CO,,39.72976597,-104.8905515,,Unlisted,0,images/Parks/no_imagerec.gif,No,,{00000000-0000-0000-0000-000000000000}
Globeville Rec Center,Globeville Recreation Center,228,Grounds,Rec Center,0.21231417,No,1977,None,NW,9,2,45th Ave & Grant St,"34,483",4496 N Grant St,,Denver,CO,,39.77814605,-104.98327388,,Unlisted,0,,Yes,2014-01-01 00:00:00,{00000000-0000-0000-0000-000000000000}
Mount Lindo,Mount Lindo Tract,M36,Conservation Tract,Mountain,157.93272349,Yes,1924,2008,MP,None,None,,,,,,CO,,39.61487845,-105.20092238,,"Scenic View, Natural Open Space",0,images/Parks/no_imagerec.gif,,2010-05-14 00:00:00,{00000000-0000-0000-0000-000000000000}
Newton,Newton Park,M38,Park,Mountain,435.91592239,Yes,1939,2008,MP,None,None,,,11026 South Highway 285,,Conifer,CO,80433,39.51215536,-105.29731119,MP,"Special Permit Picnic Area, Picnic Shelter, Picnic Tables, Grills, Firepits, Softball Field, Volleyball Court, Horseshoe Pits, Hiking Trails, Restroom",documents/parkart/Newton_ParkMap.pdf,images/Parks/newtonpark.jpg,,2010-05-14 00:00:00,{00000000-0000-0000-0000-000000000000}
